observation_id,group_id,time,exposure,covariate,outcome
C001-0,G001,0,1,0.226785,0
C001-1,G001,1,1,0.226785,1
C001-2,G001,2,1,0.226785,1
C001-3,G001,3,1,0.226785,1
C001-4,G001,4,1,0.226785,1
C002-0,G002,0,0,0.370570,1
C002-1,G002,1,0,0.370570,0
C002-2,G002,2,0,0.370570,0
C002-3,G002,3,0,0.370570,0
C002-4,G002,4,0,0.370570,0
C003-0,G003,0,1,0.268909,1
C003-1,G003,1,1,0.268909,1
C003-2,G003,2,1,0.268909,0
C003-3,G003,3,1,0.268909,1
C003-4,G003,4,1,0.268909,1
C004-0,G004,0,0,0.311944,1
C004-1,G004,1,0,0.311944,0
C004-2,G004,2,0,0.311944,0
C004-3,G004,3,0,0.311944,0
C004-4,G004,4,0,0.311944,0
C005-0,G005,0,1,0.752697,0
C005-1,G005,1,1,0.752697,0
C005-2,G005,2,1,0.752697,0
C005-3,G005,3,1,0.752697,0
C005-4,G005,4,1,0.752697,0
C006-0,G006,0,0,-0.444577,0
C006-1,G006,1,0,-0.444577,1
C006-2,G006,2,0,-0.444577,0
C006-3,G006,3,0,-0.444577,1
C006-4,G006,4,0,-0.444577,0
C007-0,G007,0,1,-0.546749,0
C007-1,G007,1,1,-0.546749,0
C007-2,G007,2,1,-0.546749,0
C007-3,G007,3,1,-0.546749,0
C007-4,G007,4,1,-0.546749,0
C008-0,G008,0,0,0.266546,1
C008-1,G008,1,0,0.266546,1
C008-2,G008,2,0,0.266546,0
C008-3,G008,3,0,0.266546,0
C008-4,G008,4,0,0.266546,0
C009-0,G009,0,1,-0.628110,1
C009-1,G009,1,1,-0.628110,1
C009-2,G009,2,1,-0.628110,1
C009-3,G009,3,1,-0.628110,1
C009-4,G009,4,1,-0.628110,0
C010-0,G010,0,0,-2.105561,1
C010-1,G010,1,0,-2.105561,1
C010-2,G010,2,0,-2.105561,0
C010-3,G010,3,0,-2.105561,0
C010-4,G010,4,0,-2.105561,1
C011-0,G011,0,1,1.420332,0
C011-1,G011,1,1,1.420332,0
C011-2,G011,2,1,1.420332,1
C011-3,G011,3,1,1.420332,1
C011-4,G011,4,1,1.420332,1
C012-0,G012,0,0,0.664733,0
C012-1,G012,1,0,0.664733,0
C012-2,G012,2,0,0.664733,0
C012-3,G012,3,0,0.664733,1
C012-4,G012,4,0,0.664733,0
C013-0,G013,0,1,-0.168741,0
C013-1,G013,1,1,-0.168741,0
C013-2,G013,2,1,-0.168741,0
C013-3,G013,3,1,-0.168741,1
C013-4,G013,4,1,-0.168741,1
C014-0,G014,0,0,-1.120751,1
C014-1,G014,1,0,-1.120751,0
C014-2,G014,2,0,-1.120751,0
C014-3,G014,3,0,-1.120751,0
C014-4,G014,4,0,-1.120751,1
C015-0,G015,0,1,0.143931,0
C015-1,G015,1,1,0.143931,1
C015-2,G015,2,1,0.143931,1
C015-3,G015,3,1,0.143931,1
C015-4,G015,4,1,0.143931,0
C016-0,G016,0,0,0.917814,0
C016-1,G016,1,0,0.917814,0
C016-2,G016,2,0,0.917814,0
C016-3,G016,3,0,0.917814,0
C016-4,G016,4,0,0.917814,0
C017-0,G017,0,1,0.435891,0
C017-1,G017,1,1,0.435891,0
C017-2,G017,2,1,0.435891,1
C017-3,G017,3,1,0.435891,1
C017-4,G017,4,1,0.435891,0
C018-0,G018,0,0,-0.430167,0
C018-1,G018,1,0,-0.430167,0
C018-2,G018,2,0,-0.430167,1
C018-3,G018,3,0,-0.430167,0
C018-4,G018,4,0,-0.430167,1
C019-0,G019,0,1,0.120106,1
C019-1,G019,1,1,0.120106,1
C019-2,G019,2,1,0.120106,1
C019-3,G019,3,1,0.120106,1
C019-4,G019,4,1,0.120106,1
C020-0,G020,0,0,1.283819,0
C020-1,G020,1,0,1.283819,1
C020-2,G020,2,0,1.283819,0
C020-3,G020,3,0,1.283819,0
C020-4,G020,4,0,1.283819,0
C021-0,G021,0,1,-1.274790,1
C021-1,G021,1,1,-1.274790,1
C021-2,G021,2,1,-1.274790,1
C021-3,G021,3,1,-1.274790,1
C021-4,G021,4,1,-1.274790,1
C022-0,G022,0,0,-3.190117,1
C022-1,G022,1,0,-3.190117,1
C022-2,G022,2,0,-3.190117,1
C022-3,G022,3,0,-3.190117,0
C022-4,G022,4,0,-3.190117,0
C023-0,G023,0,1,1.128390,0
C023-1,G023,1,1,1.128390,0
C023-2,G023,2,1,1.128390,0
C023-3,G023,3,1,1.128390,0
C023-4,G023,4,1,1.128390,1
C024-0,G024,0,0,-0.215367,0
C024-1,G024,1,0,-0.215367,0
C024-2,G024,2,0,-0.215367,0
C024-3,G024,3,0,-0.215367,0
C024-4,G024,4,0,-0.215367,0
C025-0,G025,0,1,-2.016046,0
C025-1,G025,1,1,-2.016046,1
C025-2,G025,2,1,-2.016046,1
C025-3,G025,3,1,-2.016046,1
C025-4,G025,4,1,-2.016046,0
C026-0,G026,0,0,0.173186,0
C026-1,G026,1,0,0.173186,0
C026-2,G026,2,0,0.173186,0
C026-3,G026,3,0,0.173186,1
C026-4,G026,4,0,0.173186,1
C027-0,G027,0,1,-0.166298,1
C027-1,G027,1,1,-0.166298,0
C027-2,G027,2,1,-0.166298,0
C027-3,G027,3,1,-0.166298,0
C027-4,G027,4,1,-0.166298,0
C028-0,G028,0,0,0.280105,0
C028-1,G028,1,0,0.280105,0
C028-2,G028,2,0,0.280105,0
C028-3,G028,3,0,0.280105,0
C028-4,G028,4,0,0.280105,1
C029-0,G029,0,1,-0.860400,1
C029-1,G029,1,1,-0.860400,0
C029-2,G029,2,1,-0.860400,1
C029-3,G029,3,1,-0.860400,1
C029-4,G029,4,1,-0.860400,0
C030-0,G030,0,0,0.897448,0
C030-1,G030,1,0,0.897448,1
C030-2,G030,2,0,0.897448,0
C030-3,G030,3,0,0.897448,0
C030-4,G030,4,0,0.897448,0
C031-0,G031,0,1,0.808636,1
C031-1,G031,1,1,0.808636,1
C031-2,G031,2,1,0.808636,0
C031-3,G031,3,1,0.808636,1
C031-4,G031,4,1,0.808636,1
C032-0,G032,0,0,1.280792,1
C032-1,G032,1,0,1.280792,1
C032-2,G032,2,0,1.280792,0
C032-3,G032,3,0,1.280792,0
C032-4,G032,4,0,1.280792,1
C033-0,G033,0,1,-1.109143,1
C033-1,G033,1,1,-1.109143,1
C033-2,G033,2,1,-1.109143,0
C033-3,G033,3,1,-1.109143,0
C033-4,G033,4,1,-1.109143,0
C034-0,G034,0,0,-0.716241,0
C034-1,G034,1,0,-0.716241,1
C034-2,G034,2,0,-0.716241,0
C034-3,G034,3,0,-0.716241,0
C034-4,G034,4,0,-0.716241,0
C035-0,G035,0,1,1.390658,0
C035-1,G035,1,1,1.390658,0
C035-2,G035,2,1,1.390658,0
C035-3,G035,3,1,1.390658,1
C035-4,G035,4,1,1.390658,1
C036-0,G036,0,0,0.140465,1
C036-1,G036,1,0,0.140465,0
C036-2,G036,2,0,0.140465,0
C036-3,G036,3,0,0.140465,0
C036-4,G036,4,0,0.140465,1
C037-0,G037,0,1,-0.693571,0
C037-1,G037,1,1,-0.693571,0
