observation_id,group_id,time,exposure,covariate,outcome
R001-0,G001,0,1,0.167153,2.136097
R001-1,G001,1,1,0.167153,2.992468
R001-2,G001,2,1,0.167153,3.734889
R001-3,G001,3,1,0.167153,4.024849
R001-4,G001,4,1,0.167153,4.569260
R001-5,G001,5,1,0.167153,5.809992
R002-0,G002,0,0,0.507782,0.851255
R002-1,G002,1,0,0.507782,1.482210
R002-2,G002,2,0,0.507782,2.189725
R002-3,G002,3,0,0.507782,3.341080
R002-4,G002,4,0,0.507782,4.037812
R002-5,G002,5,0,0.507782,3.620850
R003-0,G003,0,1,0.514718,2.616218
R003-1,G003,1,1,0.514718,3.158796
R003-2,G003,2,1,0.514718,3.099012
R003-3,G003,3,1,0.514718,3.738889
R003-4,G003,4,1,0.514718,4.696084
R003-5,G003,5,1,0.514718,5.800452
R004-0,G004,0,0,1.569080,1.164194
R004-1,G004,1,0,1.569080,2.692328
R004-2,G004,2,0,1.569080,3.653075
R004-3,G004,3,0,1.569080,3.245813
R004-4,G004,4,0,1.569080,5.405615
R004-5,G004,5,0,1.569080,5.976560
R005-0,G005,0,1,-1.137994,3.467602
R005-1,G005,1,1,-1.137994,3.610323
R005-2,G005,2,1,-1.137994,4.311737
R005-3,G005,3,1,-1.137994,4.965135
R005-4,G005,4,1,-1.137994,5.778381
R005-5,G005,5,1,-1.137994,5.679285
R006-0,G006,0,0,-0.459692,2.756231
R006-1,G006,1,0,-0.459692,3.429047
R006-2,G006,2,0,-0.459692,3.230284
R006-3,G006,3,0,-0.459692,4.130922
R006-4,G006,4,0,-0.459692,4.777768
R006-5,G006,5,0,-0.459692,6.141390
R007-0,G007,0,1,-0.630944,2.098925
R007-1,G007,1,1,-0.630944,3.372049
R007-2,G007,2,1,-0.630944,3.277320
R007-3,G007,3,1,-0.630944,3.780791
R007-4,G007,4,1,-0.630944,4.062628
R007-5,G007,5,1,-0.630944,4.286845
R008-0,G008,0,0,1.053309,-0.288682
R008-1,G008,1,0,1.053309,0.781122
R008-2,G008,2,0,1.053309,0.994333
R008-3,G008,3,0,1.053309,0.628320
R008-4,G008,4,0,1.053309,1.418402
R008-5,G008,5,0,1.053309,1.589544
R009-0,G009,0,1,-0.255240,5.401847
R009-1,G009,1,1,-0.255240,5.385714
R009-2,G009,2,1,-0.255240,6.188177
R009-3,G009,3,1,-0.255240,7.043606
R009-4,G009,4,1,-0.255240,6.920797
R009-5,G009,5,1,-0.255240,7.835004
R010-0,G010,0,0,0.146127,0.367159
R010-1,G010,1,0,0.146127,0.511422
R010-2,G010,2,0,0.146127,1.327165
R010-3,G010,3,0,0.146127,1.720116
R010-4,G010,4,0,0.146127,1.570559
R010-5,G010,5,0,0.146127,1.787483
R011-0,G011,0,1,-0.207014,3.560953
R011-1,G011,1,1,-0.207014,4.982044
R011-2,G011,2,1,-0.207014,5.624772
R011-3,G011,3,1,-0.207014,6.341252
R011-4,G011,4,1,-0.207014,7.080532
R011-5,G011,5,1,-0.207014,8.376479
R012-0,G012,0,0,-0.634031,0.168590
R012-1,G012,1,0,-0.634031,0.523062
R012-2,G012,2,0,-0.634031,0.720645
R012-3,G012,3,0,-0.634031,1.095437
R012-4,G012,4,0,-0.634031,1.289079
R012-5,G012,5,0,-0.634031,2.258176
R013-0,G013,0,1,2.084956,2.819572
R013-1,G013,1,1,2.084956,2.668052
R013-2,G013,2,1,2.084956,3.756740
R013-3,G013,3,1,2.084956,5.050033
R013-4,G013,4,1,2.084956,5.323278
R013-5,G013,5,1,2.084956,6.436252
R014-0,G014,0,0,1.033521,2.153454
R014-1,G014,1,0,1.033521,2.362314
R014-2,G014,2,0,1.033521,2.477907
R014-3,G014,3,0,1.033521,2.330138
R014-4,G014,4,0,1.033521,3.637624
R014-5,G014,5,0,1.033521,3.630326
R015-0,G015,0,1,-1.669022,3.235075
R015-1,G015,1,1,-1.669022,3.312455
R015-2,G015,2,1,-1.669022,3.939350
R015-3,G015,3,1,-1.669022,5.260023
R015-4,G015,4,1,-1.669022,5.207219
R015-5,G015,5,1,-1.669022,5.321224
R016-0,G016,0,0,0.202175,2.255516
R016-1,G016,1,0,0.202175,3.343036
R016-2,G016,2,0,0.202175,3.937291
R016-3,G016,3,0,0.202175,5.306747
R016-4,G016,4,0,0.202175,6.214339
R016-5,G016,5,0,0.202175,7.056881
R017-0,G017,0,1,-1.650087,2.198182
R017-1,G017,1,1,-1.650087,3.178011
R017-2,G017,2,1,-1.650087,3.754189
R017-3,G017,3,1,-1.650087,4.742528
R017-4,G017,4,1,-1.650087,4.381487
R017-5,G017,5,1,-1.650087,5.900749
R018-0,G018,0,0,0.333608,0.938771
R018-1,G018,1,0,0.333608,2.204964
R018-2,G018,2,0,0.333608,1.516517
R018-3,G018,3,0,0.333608,2.314835
R018-4,G018,4,0,0.333608,3.056376
R018-5,G018,5,0,0.333608,3.358629
R019-0,G019,0,1,0.854276,1.293499
R019-1,G019,1,1,0.854276,2.256845
R019-2,G019,2,1,0.854276,2.358657
R019-3,G019,3,1,0.854276,3.818192
R019-4,G019,4,1,0.854276,4.263207
R019-5,G019,5,1,0.854276,4.590463
R020-0,G020,0,0,0.651030,0.720473
R020-1,G020,1,0,0.651030,0.641761
R020-2,G020,2,0,0.651030,1.111420
R020-3,G020,3,0,0.651030,1.736131
R020-4,G020,4,0,0.651030,2.118560
R020-5,G020,5,0,0.651030,2.638692
R021-0,G021,0,1,-0.544920,2.364554
R021-1,G021,1,1,-0.544920,2.761219
R021-2,G021,2,1,-0.544920,3.936307
R021-3,G021,3,1,-0.544920,4.937789
R021-4,G021,4,1,-0.544920,5.718239
R021-5,G021,5,1,-0.544920,5.204735
R022-0,G022,0,0,0.405432,1.745590
R022-1,G022,1,0,0.405432,2.679845
R022-2,G022,2,0,0.405432,3.155348
R022-3,G022,3,0,0.405432,3.222054
R022-4,G022,4,0,0.405432,3.986177
R022-5,G022,5,0,0.405432,4.705815
R023-0,G023,0,1,0.463517,3.510214
R023-1,G023,1,1,0.463517,4.089578
R023-2,G023,2,1,0.463517,4.258236
R023-3,G023,3,1,0.463517,4.449341
R023-4,G023,4,1,0.463517,6.200049
R023-5,G023,5,1,0.463517,6.217267
